data,datasize,encoder,run,train_DIQ_yz_toagg,test_DIQ_yz_toagg,train_H_Q_yCz_toagg,test_H_Q_yCz_toagg,train_acc_toagg,test_acc_toagg,train_loglike_toagg,test_loglike_toagg
svhn,b2048,resnet18,0,3.209274956674286,2.6676479119520917,0.01716952274243037,0.558796593776116,0.9964356675918764,0.9226720958819914,-0.011914703897473268,-0.3898281414694342
svhn,b2048,resnet18,1,3.2149977395028784,2.69097953576308,0.01144675971149947,0.5354649562102097,0.9975277183722376,0.9285494775660724,-0.007977962263832523,-0.3730764533687312
svhn,b2048,resnet18,4,3.2045708858605586,2.6913110659672665,0.021873594713256214,0.5351334168360784,0.9948430935371828,0.9220958819913952,-0.0151787115873946,-0.3729598869027645
svhn,b2048,resnet18,3,3.2071833177046343,2.64408643429096,0.019261164788269638,0.5823580393424401,0.9953891189273636,0.9269360786724032,-0.013301954475701308,-0.4047321251741961
svhn,b2048,resnet18,2,3.1851191303946758,2.615568252710196,0.04132537933235818,0.6108762140457447,0.9904293882998892,0.919099569760295,-0.02862799718043672,-0.4254896053338991
svhn,b2048,mlp,4,3.21817033218615,0.7916518541482779,0.00827417644022992,2.434792628655067,0.999044455567184,0.8181853103872158,-0.005753743599189672,-1.6404700050058765
svhn,b2048,mlp,1,3.21904400623206,0.76845750441918,0.007400462643779589,2.4579869783841652,0.9991354597988806,0.8158036263060848,-0.005172537830656155,-1.6634149047714462
svhn,b2048,mlp,0,3.2202402822899097,0.7317397227654091,0.006204194819667574,2.494704760037936,0.9993933051220216,0.8140365703749232,-0.004358464778843839,-1.6883662983398835
svhn,b2048,mlp,2,3.2174857457478843,0.7252992116487943,0.008958751801401377,2.5011452711545505,0.9986956060123462,0.8183773816840811,-0.006271338978812147,-1.6756973587787436
svhn,b2048,mlp,3,3.2171564246668964,0.581698802801279,0.009288041993524091,2.6447456800020657,0.9988472797318408,0.8146511985248924,-0.006447728086026539,-1.7789796865836327
svhn,b8,mlp,0,3.2154728065837515,-17.616303663987377,0.01097169517412443,20.84274790837215,0.9992719661464258,0.8136908420405654,-0.006198977047911554,-3.4427530389109844
svhn,b8,mlp,1,3.2245606292377818,-24.664437147287227,0.001883860473698764,27.89088168511024,0.9997269873049096,0.8147280270436386,-0.001338511990091999,-4.060298915543438
svhn,b8,mlp,4,3.2197653308059233,-14.84996694784898,0.0066791361084941655,18.07641121057364,0.9989382839635376,0.8070067609096496,-0.004446342879362813,-3.5592937265931135
svhn,b8,mlp,3,3.2234968994603013,-10.01878760411189,0.00294759737902716,13.245231848496655,0.999378137750072,0.8159956976029502,-0.002089736979140545,-3.491359208114451
svhn,b8,mlp,2,3.21043289791454,-50.23768439659706,0.016011586424252582,53.46412952129658,0.997906902670974,0.8088122311001844,-0.010136240412385249,-4.189444461381632
svhn,b8,resnet18,2,3.218900694991603,1.664732602926401,0.0075437793857418,1.5617118890468893,0.9991202924269312,0.9418408113091579,-0.004019784863600015,-0.7309840939617028
svhn,b8,resnet18,3,3.221852584318681,1.540280846449045,0.00459191121670742,1.6861636455242452,0.9995146440976173,0.9432237246465888,-0.0026875192717719875,-0.6862176324701511
svhn,b8,resnet18,4,3.2236725272554336,1.7193167393024151,0.0027719571308724962,1.5071277480859022,0.9997118199329602,0.9454133374308544,-0.001963079878443477,-0.596096640759473
svhn,b8,resnet18,1,3.222723484039306,1.4684298772078297,0.0037209929691788134,1.7580146055955153,0.99943880723787,0.9402274124154888,-0.002443527516975199,-0.6781036313208185
